Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
NV Ojha,2009-2018,113,-,-,-,-,-,-,-,-,-,-,-,
Mandeep Singh,2010-2023,111,2,2.0,0,26,0,-,-,13,-,0,0,
Kuldeep Yadav,2016-2026,110,106,379.0,1,3130,112,4/14,27.94,8.25,20.3,4,0,
BB McCullum,2008-2018,109,-,-,-,-,-,-,-,-,-,-,-,
M Vijay,2009-2020,106,4,6.0,0,49,0,-,-,8.16,-,0,0,
R Vinay Kumar,2008-2018,105,104,353.4,1,2966,105,4/40,28.24,8.38,20.2,1,0,
V Sehwag,2008-2015,104,15,22.4,0,235,6,2/18,39.16,10.36,22.6,0,0,
N Pooran,2019-2026,104,-,-,-,-,-,-,-,-,-,-,-,
DL Chahar,2016-2026,103,103,344.4,7,2862,96,4/13,29.81,8.3,21.5,2,0,
IK Pathan,2008-2017,103,101,340.3,10,2649,80,3/24,33.11,7.77,25.5,0,0,
SPD Smith,2012-2021,103,1,0.2,0,5,0,-,-,15,-,0,0,
K Rabada,2017-2026,101,101,381.4,3,3358,148,4/21,22.68,8.79,15.4,6,0,
Z Khan,2008-2017,100,99,366.4,5,2782,102,4/17,27.27,7.58,21.5,1,0,
RA Tripathi,2017-2025,100,1,1.0,0,12,0,-,-,12,-,0,0,
JH Kallis,2008-2014,98,89,290.2,3,2293,65,3/13,35.27,7.89,26.8,0,0,
R Parag,2019-2026,98,34,53.1,0,515,9,1/5,57.22,9.68,35.4,0,0,
MK Tiwary,2008-2018,98,6,7.0,0,83,1,1/11,83,11.85,42,0,0,
Arshdeep Singh,2019-2026,96,95,338.4,2,3111,111,5/32,28.02,9.18,18.3,2,1,
