Player,Country,Role,Auction_Team,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,HS_NotOut,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Base_Price_Lakh,Auction_Price_Lakh,Auction_Price_Cr,log_Auction_Price,Price_Multiplier,Runs_per_Inns,Wkts_per_Mat,Boundary_Rate,Bowling_Contribution,Has_Batting,Has_Bowling,Is_Overseas,Low_Sample,Origin,Impact_Innings,Haul_Innings,Batting_Score,Bowling_Score,Overall_Score,Performance_Tier,Cluster_Id,Value_Cluster,Value_Gap
Ishan Kishan,India,Wicket-keeper,Sunrisers Hyderabad,2016-2026,134,127,9,3600,106.0,True,30.5,2508,143.54,1,23,11,348,166,1,0.1,0,4,0,,,24.0,,0,0,200,1125,11.25,7.025538314638521,5.625,28.346456692913385,0.0,0.2049441786283891,0.0007462686567164,True,True,0,0,India,24,0,1.5793947437307487,-1.8112442825520545,1.2403308411024685,High,0,Undervalued / High-value,0.064
J Fraser-McGurk,Australia,Wicket-keeper,Delhi Capitals,2024-2025,15,15,0,385,84.0,False,25.66,193,199.48,0,4,3,39,30,0,0.0,0,0,0,,,,,0,0,200,900,9.0,6.802394763324311,4.5,25.666666666666668,0.0,0.3575129533678756,0.0,True,False,1,0,Overseas,4,0,0.8836384549752836,,0.8836384549752836,High,3,High-performing but Expensive,-0.276
J Overton,England,All-rounder,Chennai Super Kings,2025-2026,13,8,4,151,43.0,True,37.75,93,162.36,0,0,0,14,7,13,34.0,0,332,14,Apr-18,23.71,9.76,14.5,1,0,150,150,1.5,5.010635294096256,1.0,18.875,1.0769230769230769,0.2258064516129032,2.6153846153846154,True,True,1,0,Overseas,0,1,0.284396449275429,0.2043370106120254,0.2483697018768974,Medium,2,Fair-value Mid-market,0.191
J Yadav,India,All-rounder,Gujarat Titans,2015-2023,20,5,1,40,23.0,False,10.0,36,111.11,0,0,0,2,1,20,65.0,0,445,8,01-Aug,55.62,6.84,48.7,0,0,75,75,0.75,4.31748811353631,1.0,8.0,0.4,0.0833333333333333,3.25,True,True,0,0,India,0,0,-0.4067434670294352,-0.3960626347720803,-0.4019370925136255,Low,1,Low-cost / Low-impact,-0.208
JC Archer,England,Bowler,Rajasthan Royals,2018-2026,68,42,17,326,32.0,False,13.04,225,144.88,0,0,5,18,22,68,263.0,4,2161,84,Mar-15,25.72,8.21,18.7,0,0,200,1250,12.5,7.1308988302963465,6.25,7.761904761904762,1.2352941176470589,0.1777777777777777,3.8676470588235294,True,True,1,0,Overseas,0,0,-0.075623205211367,0.7428908450593943,0.6201137375187801,High,3,High-performing but Expensive,-0.906
JC Buttler,England,Wicket-keeper,Gujarat Titans,2016-2026,138,136,19,4646,124.0,False,39.7,3103,149.72,7,28,8,458,211,0,0.0,0,0,0,,,,,0,0,200,1575,15.75,7.362010551259734,7.875,34.161764705882355,0.0,0.2155978085723493,0.0,True,False,1,0,Overseas,35,0,2.1575262408981484,,2.1575262408981484,High,0,Undervalued / High-value,1.119
JD Unadkat,India,Bowler,Sunrisers Hyderabad,2010-2026,116,33,17,201,26.0,False,12.56,169,118.93,0,0,2,16,7,115,391.5,3,3504,114,May-25,30.73,8.94,20.6,0,2,100,100,1.0,4.605170185988092,1.0,6.090909090909091,0.9827586206896552,0.136094674556213,3.375,True,True,0,0,India,0,2,-0.3086367009275447,0.8499567901721866,0.6761677665072269,High,2,Fair-value Mid-market,1.115
JG Bethell,England,All-rounder,Royal Challengers Bengaluru,2025-2026,9,9,0,163,55.0,False,18.11,116,140.51,0,1,0,21,6,0,0.0,0,0,0,,,,,0,0,125,260,2.6,5.560681631015528,2.08,18.11111111111111,0.0,0.2327586206896551,0.0,True,False,1,1,Overseas,1,0,0.2029408125999953,,0.2029408125999953,Medium,2,Fair-value Mid-market,-0.297
JM Sharma,India,Wicket-keeper,Royal Challengers Bengaluru,2022-2026,71,59,11,1107,85.0,True,23.06,726,152.47,0,1,3,86,68,0,0.0,0,0,0,,,,,0,0,100,1100,11.0,7.003065458786462,11.0,18.76271186440678,0.0,0.2121212121212121,0.0,True,False,0,0,India,1,0,0.4815592008831504,,0.4815592008831504,High,3,High-performing but Expensive,-1.006
JP Inglis,Australia,Wicket-keeper,Punjab Kings,2025-2026,16,16,2,544,85.0,False,38.85,314,173.24,0,4,0,58,28,0,0.0,0,0,0,,,,,0,0,200,260,2.6,5.560681631015528,1.3,34.0,0.0,0.2738853503184713,0.0,True,False,1,0,Overseas,4,0,0.9086090380131396,,0.9086090380131396,High,0,Undervalued / High-value,0.714
JR Hazlewood,Australia,Bowler,Royal Challengers Bengaluru,2020-2026,52,8,7,19,7.0,True,19.0,30,63.33,0,0,1,1,0,52,196.0,1,1690,72,04-Dec,23.47,8.62,16.3,3,0,200,1250,12.5,7.1308988302963465,6.25,2.375,1.3846153846153846,0.0333333333333333,3.769230769230769,True,True,1,0,Overseas,0,3,-0.8073886992836432,0.9596098960407696,0.6945601067421079,High,3,High-performing but Expensive,-0.799
K Kartikeya,India,Bowler,Rajasthan Royals,2022-2025,16,4,0,12,6.0,False,3.0,17,70.58,0,0,0,1,0,16,47.0,0,407,12,Feb-22,33.91,8.65,23.5,0,0,30,30,0.3,3.4011973816621555,1.0,3.0,0.75,0.0588235294117647,2.9375,True,True,0,0,India,0,0,-0.7303958778553499,-0.0856709968119332,-0.1823797289684457,Low,1,Low-cost / Low-impact,0.811
K Khejroliya,India,Bowler,Gujarat Titans,2018-2026,9,0,0,0,,False,,0,,0,0,0,0,0,9,25.1,0,277,6,Feb-33,46.16,11.0,25.1,0,0,30,30,0.3,3.4011973816621555,1.0,,0.6666666666666666,,2.788888888888889,False,True,0,1,India,0,0,,-0.4348156183126673,-0.4348156183126673,Low,1,Low-cost / Low-impact,0.449
K Kushagra,India,Wicket-keeper,Gujarat Titans,2024-2026,5,4,0,21,18.0,False,5.25,21,100.0,0,0,1,3,0,0,0.0,0,0,0,,,,,0,0,30,65,0.65,4.174387269895637,2.1666666666666665,5.25,0.0,0.1428571428571428,0.0,True,False,0,1,India,0,0,-0.4417017108968026,,-0.4417017108968026,Low,1,Low-cost / Low-impact,-0.155
K Rabada,South Africa,Bowler,Gujarat Titans,2017-2026,101,37,17,262,44.0,False,13.1,239,109.62,0,0,4,21,11,101,381.4,3,3358,148,Apr-21,22.68,8.79,15.4,6,0,200,1075,10.75,6.980075940561763,5.375,7.081081081081081,1.465346534653465,0.1338912133891213,3.776237623762376,True,True,1,0,Overseas,0,6,-0.3089775526275454,1.7039104857119174,1.401977279960998,High,0,Undervalued / High-value,0.33
KH Pandya,India,All-rounder,Royal Challengers Bengaluru,2016-2026,158,127,42,1982,86.0,False,23.31,1481,133.82,0,3,7,173,76,147,450.1,1,3410,107,Apr-45,31.86,7.57,25.2,1,0,200,575,5.75,6.354370040797351,2.875,15.606299212598426,0.6772151898734177,0.1681296421336934,2.84873417721519,True,True,0,0,India,3,1,0.5193554911775587,0.643568390439925,0.5752512958456235,High,3,High-performing but Expensive,-0.374
KK Ahmed,India,Bowler,Chennai Super Kings,2018-2026,76,7,2,2,1.0,True,0.4,9,22.22,0,0,4,0,0,76,276.1,4,2474,91,Mar-21,27.18,8.95,18.2,0,0,200,480,4.8,6.173786103901937,2.4,0.2857142857142857,1.1973684210526316,0.0,3.6328947368421054,True,True,0,0,India,0,0,-1.0718093401196491,0.7068197484718985,0.4400253851831663,High,3,High-performing but Expensive,-0.429
KK Nair,India,Batter,Delhi Capitals,2013-2026,86,78,5,1712,89.0,False,23.45,1304,131.28,0,11,5,188,49,0,0.0,0,0,0,,,,,0,0,30,50,0.5,3.912023005428146,1.6666666666666667,21.94871794871795,0.0,0.1817484662576687,0.0,True,False,0,0,India,11,0,0.7055585754772992,,0.7055585754772992,High,2,Fair-value Mid-market,1.69
KL Nagarkoti,India,All-rounder,Chennai Super Kings,2020-2022,12,7,3,22,8.0,True,5.5,33,66.66,0,0,2,1,0,11,30.0,0,285,5,Feb-13,57.0,9.5,36.0,0,0,30,30,0.3,3.4011973816621555,1.0,3.142857142857143,0.4166666666666667,0.0303030303030303,2.5,True,True,0,0,India,0,0,-0.7788091610836181,-0.5864373707424854,-0.6922418554301084,Low,1,Low-cost / Low-impact,0.08
KL Rahul,India,Wicket-keeper,Delhi Capitals,2013-2026,159,150,24,5815,152.0,True,46.15,4179,139.14,6,45,5,508,239,0,0.0,0,0,0,,,,,0,0,200,1400,14.0,7.24422751560335,7.0,38.766666666666666,0.0,0.1787508973438621,0.0,True,False,0,0,India,51,0,2.6647193830006257,,2.6647193830006257,High,0,Undervalued / High-value,1.937
KR Sen,India,Bowler,Punjab Kings,2022-2024,12,1,1,0,0.0,True,,3,0.0,0,0,0,0,0,12,40.1,0,387,14,Apr-20,27.64,9.63,17.2,1,0,75,80,0.8,4.382026634673881,1.0666666666666669,0.0,1.1666666666666667,0.0,3.341666666666667,True,True,0,0,India,0,1,-1.1678492466963966,0.2226077068414454,0.0140391638107691,Medium,2,Fair-value Mid-market,0.338
KS Rathore,India,Wicket-keeper,Rajasthan Royals,2025-2025,1,1,0,0,0.0,False,0.0,5,0.0,0,0,1,0,0,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,0.0,0.0,0.0,0.0,True,False,0,1,India,0,0,-1.1678492466963966,,-1.1678492466963966,Low,1,Low-cost / Low-impact,-0.602
KT Maphaka,South Africa,Bowler,Rajasthan Royals,2024-2025,4,1,1,8,8.0,True,,2,400.0,0,0,0,2,0,4,11.0,0,143,2,Jan-23,71.5,13.0,33.0,0,0,75,150,1.5,5.010635294096256,2.0,8.0,0.5,1.0,2.75,True,True,1,1,Overseas,0,0,1.984827592133117,-0.9207598889305344,-0.4849217667709867,Low,2,Fair-value Mid-market,-0.86
KV Sharma,India,Bowler,Mumbai Indians,2009-2025,90,41,15,352,39.0,True,13.53,295,119.32,0,0,1,20,17,87,264.1,1,2215,83,Apr-16,26.68,8.38,19.0,2,0,50,50,0.5,3.912023005428146,1.0,8.585365853658537,0.9222222222222224,0.1254237288135593,2.934444444444445,True,True,0,0,India,0,2,-0.2220988516738732,0.6932763298999494,0.555970052663876,High,2,Fair-value Mid-market,1.476
Karim Janat,Afghanistan,All-rounder,Gujarat Titans,2025-2025,1,0,0,0,,False,,0,,0,0,0,0,0,1,1.0,0,30,0,,,30.0,,0,0,30,75,0.75,4.31748811353631,2.5,,0.0,,1.0,False,True,1,1,Overseas,0,0,,-2.2537372577470864,-2.2537372577470864,Low,1,Low-cost / Low-impact,-2.862
L Ngidi,South Africa,Bowler,Royal Challengers Bengaluru,2018-2026,28,4,2,4,3.0,False,2.0,9,44.44,0,0,1,0,0,27,103.2,2,869,42,04-Oct,20.69,8.4,14.7,1,0,30,100,1.0,4.605170185988092,3.333333333333333,1.0,1.5,0.0,3.685714285714286,True,True,1,0,Overseas,0,1,-0.9653560736832764,0.7253256901786256,0.4717234255993403,High,2,Fair-value Mid-market,0.822
LB Williams,South Africa,Bowler,Mumbai Indians,2024-2024,2,1,1,1,1.0,True,,2,50.0,0,0,0,0,0,2,6.0,0,72,1,Jan-38,72.0,12.0,36.0,0,0,75,75,0.75,4.31748811353631,1.0,1.0,0.5,0.0,3.0,True,True,1,1,Overseas,0,0,-0.9439634403240628,-0.8693202658460102,-0.880516742017718,Low,1,Low-cost / Low-impact,-0.894
LH Ferguson,New Zealand,Bowler,Punjab Kings,2017-2026,52,11,8,72,24.0,True,24.0,47,153.19,0,0,1,7,2,52,181.3,1,1671,52,Apr-28,32.13,9.2,20.9,1,0,200,200,2.0,5.298317366548036,1.0,6.545454545454546,1.0,0.1914893617021276,3.4865384615384616,True,True,1,0,Overseas,0,1,-0.118820898330115,0.3599076702833195,0.2880983849913043,Medium,2,Fair-value Mid-market,0.027
LS Livingstone,England,All-rounder,Royal Challengers Bengaluru,2019-2026,51,49,7,1066,94.0,False,25.38,687,155.16,0,7,3,70,76,27,52.0,0,469,13,Mar-27,36.07,9.01,24.0,0,0,200,875,8.75,6.774223886357614,4.375,21.755102040816325,0.2549019607843137,0.2125181950509461,1.0196078431372548,True,True,1,0,Overseas,7,0,0.6248991347719653,-0.3886138796610751,0.1688182782770971,Medium,3,High-performing but Expensive,-1.279
M Jansen,South Africa,All-rounder,Punjab Kings,2021-2026,48,26,11,192,34.0,True,12.8,174,110.34,0,0,3,9,9,47,169.3,1,1632,45,Mar-17,36.26,9.62,22.6,0,0,125,700,7.0,6.551080335043404,5.6,7.384615384615385,0.9375,0.1034482758620689,3.5270833333333336,True,True,1,0,Overseas,0,0,-0.3582171059324417,0.1427589174682676,-0.1327778954021225,Low,3,High-performing but Expensive,-1.539
M Markande,India,Bowler,Kolkata Knight Riders,2018-2026,40,11,8,48,18.0,True,16.0,42,114.28,0,0,0,5,1,40,125.0,0,1145,37,Apr-15,30.94,9.16,20.2,2,0,30,30,0.3,3.4011973816621555,1.0,4.363636363636363,0.925,0.1428571428571428,3.125,True,True,0,0,India,0,2,-0.3993535916954345,0.3100447195275897,0.203634972844136,Medium,1,Low-cost / Low-impact,1.364
M Prasidh Krishna,India,Bowler,Gujarat Titans,2018-2026,78,11,8,15,6.0,True,5.0,31,48.38,0,0,2,1,0,78,288.5,3,2598,90,Apr-28,28.86,8.99,19.2,3,0,200,950,9.5,6.856461984594587,4.75,1.3636363636363635,1.1538461538461535,0.032258064516129,3.698717948717949,True,True,0,0,India,0,3,-0.8940570291227401,0.875550454105573,0.610109331621326,High,3,High-performing but Expensive,-0.71
M Siddharth,India,Bowler,Lucknow Super Giants,2024-2026,9,0,0,0,,False,,0,,0,0,0,0,0,9,31.0,0,283,9,Feb-35,31.44,9.12,20.6,0,0,30,75,0.75,4.31748811353631,2.5,,1.0,,3.4444444444444446,False,True,0,1,India,0,0,,0.0238260279179795,0.0238260279179795,Medium,2,Fair-value Mid-market,0.402
M Theekshana,Sri Lanka,Bowler,Rajasthan Royals,2022-2025,38,6,3,17,7.0,True,5.66,34,50.0,0,0,1,0,1,38,146.0,1,1207,36,Apr-33,33.52,8.26,24.3,1,0,200,440,4.4,6.0867747269123065,2.2,2.833333333333333,0.9473684210526316,0.0294117647058823,3.842105263157895,True,True,1,0,Overseas,0,1,-0.8552484929634521,0.2746500677245789,0.1051652836213742,Medium,3,High-performing but Expensive,-0.842
M Tiwari,India,All-rounder,Delhi Capitals,2025-2026,4,2,1,21,18.0,True,21.0,12,175.0,0,0,0,2,1,3,10.0,0,87,4,Feb-27,21.75,8.7,15.0,0,0,30,40,0.4,3.688879454113936,1.3333333333333333,10.5,1.0,0.25,2.5,True,True,0,1,India,0,0,0.1307421319852793,0.112000865841851,0.1223085622207365,Medium,1,Low-cost / Low-impact,1.026
MA Starc,Australia,Bowler,Delhi Capitals,2014-2026,58,25,13,111,29.0,False,9.25,121,91.73,0,0,4,11,0,55,196.3,1,1727,76,May-35,22.72,8.78,15.5,3,1,200,1175,11.75,7.069023426578259,5.875,4.44,1.3103448275862069,0.0909090909090909,3.38448275862069,True,True,1,0,Overseas,0,4,-0.541897174741619,1.015006259085029,0.7814707440110318,High,3,High-performing but Expensive,-0.627
MJ Santner,New Zealand,All-rounder,Mumbai Indians,2019-2026,35,21,13,136,22.0,False,17.0,123,110.56,0,0,1,9,6,35,114.3,0,860,30,03-Nov,28.66,7.51,22.9,0,0,200,200,2.0,5.298317366548036,1.0,6.476190476190476,0.8571428571428571,0.1219512195121951,3.2657142857142856,True,True,1,0,Overseas,0,0,-0.3686468464910817,0.2094435441157259,-0.1085061707180183,Low,2,Fair-value Mid-market,-0.542
MJ Suthar,India,All-rounder,Gujarat Titans,2024-2026,5,1,0,1,1.0,False,1.0,2,50.0,0,0,0,0,0,4,8.0,0,94,2,Jan-19,47.0,11.75,24.0,0,0,30,30,0.3,3.4011973816621555,1.0,1.0,0.4,0.0,1.6,True,True,0,1,India,0,0,-0.9439634403240628,-0.6587751702137971,-0.8156287187744433,Low,1,Low-cost / Low-impact,-0.097
MK Lomror,India,All-rounder,Gujarat Titans,2018-2024,40,35,6,527,54.0,True,18.17,373,141.28,0,1,3,33,30,11,15.0,0,127,1,Jan-22,127.0,8.46,90.0,0,0,30,170,1.7,5.135798437050262,5.666666666666667,15.057142857142855,0.025,0.1689008042895442,0.375,True,True,0,0,India,1,0,0.1386359792743988,-1.4352425442150327,-0.5696093562958454,Low,2,Fair-value Mid-market,-1.078
MK Pandey,India,Batter,Kolkata Knight Riders,2008-2026,180,164,28,4012,114.0,True,29.5,3293,121.83,1,22,14,348,117,0,0.0,0,0,0,,,,,0,0,75,75,0.75,4.31748811353631,1.0,24.463414634146343,0.0,0.1412086243546917,0.0,True,False,0,0,India,23,0,1.4062041932552063,,1.4062041932552063,High,0,Undervalued / High-value,2.383
MM Sharma,India,Bowler,Delhi Capitals,2013-2025,120,33,15,125,21.0,True,6.94,136,91.91,0,0,5,8,4,119,400.3,0,3513,134,05-Oct,26.21,8.77,17.9,3,1,50,220,2.2,5.393627546352362,4.4,3.787878787878788,1.1166666666666667,0.088235294117647,3.335833333333333,True,True,0,0,India,0,4,-0.5570584728437333,1.2492306579775558,0.9782872883543624,High,0,Undervalued / High-value,0.942
MP Breetzke,South Africa,Batter,Lucknow Super Giants,2025-2025,1,1,0,14,14.0,False,14.0,12,116.66,0,0,0,1,1,0,0.0,0,0,0,,,,,0,0,75,75,0.75,4.31748811353631,1.0,14.0,0.0,0.1666666666666666,0.0,True,False,1,1,Overseas,0,0,-0.1320633605791858,,-0.1320633605791858,Low,1,Low-cost / Low-impact,0.178
MP Stoinis,Australia,All-rounder,Punjab Kings,2016-2026,122,108,30,2242,124.0,True,28.74,1520,147.5,1,10,10,181,117,75,155.5,0,1547,46,Apr-15,33.63,9.92,20.3,1,0,200,1100,11.0,7.003065458786462,5.5,20.75925925925926,0.3770491803278688,0.1960526315789473,1.274590163934426,True,True,1,0,Overseas,11,1,0.8973420905854352,-0.0726877735332606,0.4608286517320221,High,3,High-performing but Expensive,-1.036
MR Marsh,Australia,All-rounder,Lucknow Super Giants,2010-2026,68,62,2,1855,117.0,False,30.91,1249,148.51,2,12,7,155,111,34,93.2,1,795,37,Apr-25,21.48,8.51,15.1,2,0,200,340,3.4,5.828945617610208,1.7,29.91935483870968,0.5441176470588235,0.2129703763010408,1.3705882352941177,True,True,1,0,Overseas,14,2,1.0822349615851312,0.2379023048827603,0.7022852660690644,High,3,High-performing but Expensive,0.212
MS Bhandage,India,All-rounder,Royal Challengers Bengaluru,2025-2025,1,1,0,1,1.0,False,1.0,4,25.0,0,0,0,0,0,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,1.0,0.0,0.0,0.0,True,False,0,1,India,0,0,-1.0436286070537546,,-1.0436286070537546,Low,1,Low-cost / Low-impact,-0.424
Mohammed Shami,India,Bowler,Sunrisers Hyderabad,2013-2026,132,36,17,115,21.0,False,6.05,111,103.6,0,0,6,9,5,132,485.2,3,4208,145,04-Nov,29.02,8.67,20.0,2,0,200,1000,10.0,6.907755278982137,5.0,3.1944444444444446,1.0984848484848484,0.1261261261261261,3.675757575757576,True,True,0,0,India,0,2,-0.4758587531683126,1.1440981001940531,0.9011045721896984,High,3,High-performing but Expensive,-0.332
Mohammed Siraj,India,Bowler,Gujarat Titans,2017-2026,125,28,16,117,14.0,True,9.75,139,84.17,0,0,3,11,4,125,445.2,5,3911,128,Apr-17,30.55,8.78,20.8,3,0,200,1225,12.25,7.110696122978827,6.125,4.178571428571429,1.024,0.1079136690647482,3.5616,True,True,0,0,India,0,3,-0.5536890010659081,1.045953904616146,0.8060074687638378,High,3,High-performing but Expensive,-0.624
Mohit Rathee,India,Bowler,Royal Challengers Bengaluru,2023-2023,1,1,1,1,1.0,True,,2,50.0,0,0,0,0,0,1,2.0,0,29,0,,,14.5,,0,0,30,30,0.3,3.4011973816621555,1.0,1.0,0.0,0.0,2.0,True,True,0,1,India,0,0,-0.9439634403240628,-1.1106304051599212,-1.0856303604345423,Low,1,Low-cost / Low-impact,-0.484
Mukesh Choudhary,India,Bowler,Chennai Super Kings,2022-2026,24,3,2,8,4.0,False,8.0,8,100.0,0,0,0,1,0,24,80.3,0,771,25,Apr-46,30.84,9.57,19.3,1,0,30,30,0.3,3.4011973816621555,1.0,2.6666666666666665,1.0416666666666667,0.125,3.345833333333333,True,True,0,0,India,0,1,-0.5321344762457934,0.1986882192121411,0.0890648148934509,Medium,1,Low-cost / Low-impact,1.2
Mukesh Kumar,India,Bowler,Delhi Capitals,2023-2026,42,5,4,10,6.0,True,10.0,18,55.55,0,0,0,0,0,42,137.2,1,1455,42,Apr-33,34.64,10.59,19.6,1,0,200,800,8.0,6.684611727667927,4.0,2.0,1.0,0.0,3.2666666666666666,True,True,0,0,India,0,1,-0.8952212344732009,0.1844245027288482,0.0224776421485408,Medium,3,High-performing but Expensive,-1.42
Musheer Khan,India,All-rounder,Punjab Kings,2025-2025,1,1,0,0,0.0,False,0.0,3,0.0,0,0,1,0,0,1,2.0,0,27,1,Jan-27,27.0,13.5,12.0,0,0,30,30,0.3,3.4011973816621555,1.0,0.0,1.0,0.0,2.0,True,True,0,1,India,0,0,-1.1678492466963966,-0.258960140284348,-0.7588491488109748,Low,1,Low-cost / Low-impact,-0.016
N Rana,India,Batter,Rajasthan Royals,2016-2026,127,121,10,3078,91.0,False,27.72,2235,137.71,0,22,8,288,151,27,36.0,0,325,10,02-Nov,32.5,9.02,21.6,0,0,150,420,4.2,6.040254711277414,2.8,25.43801652892562,0.0787401574803149,0.1964205816554809,0.2834645669291338,True,True,0,0,India,22,0,1.3160838881626218,-0.468464544908131,1.1376290448555464,High,0,Undervalued / High-value,0.674
N Sindhu,India,Batter,Gujarat Titans,2026-2026,8,5,0,63,22.0,False,12.6,50,126.0,0,0,0,7,2,0,0.0,0,0,0,,,,,0,0,30,30,0.3,3.4011973816621555,1.0,12.6,0.0,0.18,0.0,True,False,0,1,India,0,0,-0.0980668625417282,,-0.0980668625417282,Low,1,Low-cost / Low-impact,0.931
N Thushara,Sri Lanka,Bowler,Royal Challengers Bengaluru,2024-2025,8,0,0,0,,False,,0,,0,0,0,0,0,8,30.0,0,283,9,Mar-28,31.44,9.43,20.0,0,0,75,160,1.6,5.075173815233827,2.1333333333333333,,1.125,,3.75,False,True,1,1,Overseas,0,0,,0.0715152687538639,0.0715152687538639,Medium,2,Fair-value Mid-market,-0.112
N Wadhera,India,Batter,Punjab Kings,2023-2026,44,37,4,784,70.0,False,23.75,560,140.0,0,4,2,64,43,2,2.5,0,22,0,,,7.76,,0,0,30,420,4.2,6.040254711277414,14.0,21.18918918918919,0.0,0.1910714285714285,0.0568181818181818,True,True,0,0,India,4,0,0.4138925430606402,-0.6135632963575024,0.3111469591188259,Medium,3,High-performing but Expensive,-0.511
NT Ellis,Australia,Bowler,Chennai Super Kings,2021-2025,17,5,1,19,12.0,False,4.75,25,76.0,0,0,2,0,1,17,63.0,0,546,19,Apr-30,28.73,8.66,19.8,1,0,100,200,2.0,5.298317366548036,2.0,3.8,1.1176470588235294,0.04,3.7058823529411766,True,True,1,0,Overseas,0,1,-0.7131767019994408,0.2785503845229589,0.1297913215445989,Medium,2,Fair-value Mid-market,-0.2
Naman Dhir,India,Batter,Mumbai Indians,2024-2026,37,33,7,710,62.0,True,27.3,433,163.97,0,3,5,67,36,5,8.4,0,76,0,,,8.76,,0,0,30,525,5.25,6.263398262591624,17.5,21.51515151515152,0.0,0.2378752886836027,0.227027027027027,True,True,0,0,India,3,0,0.5503795481827405,-0.6873121255566744,0.426610380808799,High,3,High-performing but Expensive,-0.517
Noor Ahmad,Afghanistan,Bowler,Chennai Super Kings,2023-2026,51,17,6,31,8.0,False,2.81,58,53.44,0,0,2,2,1,51,183.0,0,1495,61,Apr-18,24.5,8.16,18.0,2,0,200,1000,10.0,6.907755278982137,5.0,1.8235294117647056,1.196078431372549,0.0517241379310344,3.588235294117647,True,True,1,0,Overseas,0,2,-0.8320834415279748,0.7343610511110282,0.4993943772151777,High,3,High-performing but Expensive,-0.908
P Arya,India,All-rounder,Punjab Kings,2025-2026,30,30,0,839,103.0,False,27.96,437,191.99,1,5,3,82,57,0,0.0,0,0,0,,,,,0,0,30,380,3.8,5.940171252720432,12.666666666666666,27.966666666666665,0.0,0.3180778032036613,0.0,True,False,0,0,India,6,0,0.9962446986863744,,0.9962446986863744,High,0,Undervalued / High-value,0.548
P Dubey,India,All-rounder,Punjab Kings,2020-2025,5,2,1,23,16.0,False,23.0,33,69.69,0,0,0,2,0,5,13.0,0,111,2,Jan-19,55.5,8.53,39.0,0,0,30,30,0.3,3.4011973816621555,1.0,11.5,0.4,0.0606060606060606,2.6,True,True,0,1,India,0,0,-0.5221512775894271,-0.5392616036846568,-0.5298509243322805,Low,1,Low-cost / Low-impact,0.313
PD Salt,England,Wicket-keeper,Royal Challengers Bengaluru,2023-2026,40,40,3,1258,89.0,True,34.0,721,174.47,0,12,4,138,67,0,0.0,0,0,0,,,,,0,0,200,1150,11.5,7.047517221357296,5.75,31.45,0.0,0.2843273231622746,0.0,True,False,1,0,Overseas,12,0,1.1429606031805717,,1.1429606031805717,High,0,Undervalued / High-value,-0.093
PVD Chameera,Sri Lanka,Bowler,Delhi Capitals,2022-2026,20,12,8,53,17.0,False,13.25,45,117.77,0,0,2,3,3,19,64.0,0,621,13,Feb-17,47.76,9.7,29.5,0,0,75,75,0.75,4.31748811353631,1.0,4.416666666666667,0.65,0.1333333333333333,3.2,True,True,1,0,Overseas,0,0,-0.3958311739200484,-0.3329467849415568,-0.3423794432883306,Low,1,Low-cost / Low-impact,-0.123
PW Hasaranga,Sri Lanka,All-rounder,Rajasthan Royals,2021-2025,37,19,4,81,18.0,False,5.4,88,92.04,0,0,5,7,1,37,133.0,1,1119,46,May-18,24.32,8.41,17.3,2,1,200,525,5.25,6.263398262591624,2.625,4.2631578947368425,1.2432432432432432,0.0909090909090909,3.5945945945945947,True,True,1,0,Overseas,0,3,-0.5526872050098961,0.7221350715617446,0.0209828194473422,Medium,3,High-performing but Expensive,-1.098
Prince Yadav,India,All-rounder,Lucknow Super Giants,2025-2026,20,3,3,5,4.0,True,,11,45.45,0,0,0,0,0,20,74.5,0,684,19,Mar-32,36.0,9.14,23.6,0,0,30,30,0.3,3.4011973816621555,1.0,1.6666666666666667,0.95,0.0,3.725,True,True,0,0,India,0,0,-0.9448734079252664,0.0155874076332751,-0.5126660409239228,Low,1,Low-cost / Low-impact,0.337
Q de Kock,South Africa,Wicket-keeper,Kolkata Knight Riders,2013-2026,118,118,8,3441,140.0,True,31.28,2550,134.94,3,24,4,334,143,0,0.0,0,0,0,,,,,0,0,200,360,3.6,5.886104031450156,1.8,29.161016949152543,0.0,0.1870588235294117,0.0,True,False,1,0,Overseas,27,0,1.534550658023252,,1.534550658023252,High,0,Undervalued / High-value,1.361
R Ashwin,India,All-rounder,Chennai Super Kings,2009-2025,221,98,34,833,50.0,False,13.01,705,118.15,0,1,12,64,29,217,785.0,4,5652,187,Apr-34,30.22,7.2,25.1,1,0,200,975,9.75,6.882437470997847,4.875,8.5,0.8461538461538461,0.1319148936170212,3.5520361990950224,True,True,0,0,India,1,1,-0.0844225277038572,1.2856470745558828,0.5321087933130257,High,3,High-performing but Expensive,-0.841
R Minz,India,Wicket-keeper,Mumbai Indians,2025-2026,4,4,1,12,5.0,False,4.0,19,63.15,0,0,0,1,0,0,0.0,0,0,0,,,,,0,0,30,65,0.65,4.174387269895637,2.1666666666666665,3.0,0.0,0.0526315789473684,0.0,True,False,0,1,India,0,0,-0.7684472656417847,,-0.7684472656417847,Low,1,Low-cost / Low-impact,-0.624
